"city","first_name","last_name","email","revenue"
"Adoni","Barbara","Jones","barbara.jones@sakilacustomer.org","81.78"
"Akishima","Jennifer","Davis","jennifer.davis@sakilacustomer.org","84.75"
"al-Ayn","Susan","Wilson","susan.wilson@sakilacustomer.org","85.77"
"al-Hawiya","Margaret","Moore","margaret.moore@sakilacustomer.org","78.80"
"al-Manama","Dorothy","Taylor","dorothy.taylor@sakilacustomer.org","94.76"
"al-Qadarif","Lisa","Anderson","lisa.anderson@sakilacustomer.org","99.77"
"al-Qatif","Nancy","Thomas","nancy.thomas@sakilacustomer.org","93.74"
"Allappuzha (Alleppey)","Betty","White","betty.white@sakilacustomer.org","96.77"
"Alvorada","Donna","Thompson","donna.thompson@sakilacustomer.org","87.82"
"Ambattur","Carol","Garcia","carol.garcia@sakilacustomer.org","78.81"
"Amersfoort","Ruth","Martinez","ruth.martinez@sakilacustomer.org","98.82"
"Anpolis","Laura","Rodriguez","laura.rodriguez@sakilacustomer.org","94.81"
"Aparecida de Goinia","Kimberly","Lee","kimberly.lee@sakilacustomer.org","85.77"
"Asuncin","Anna","Hill","anna.hill@sakilacustomer.org","88.80"
"Athenai","Rebecca","Scott","rebecca.scott@sakilacustomer.org","89.76"
"Atlixco","Kathleen","Adams","kathleen.adams@sakilacustomer.org","90.75"
"Augusta-Richmond County","Pamela","Baker","pamela.baker@sakilacustomer.org","91.79"
"Baiyin","Christine","Roberts","christine.roberts@sakilacustomer.org","89.78"
"Baku","Marie","Turner","marie.turner@sakilacustomer.org","101.79"
"Balurghat","Frances","Parker","frances.parker@sakilacustomer.org","92.81"
"Bamenda","Ann","Evans","ann.evans@sakilacustomer.org","67.86"
"Bat Yam","Heather","Morris","heather.morris@sakilacustomer.org","88.76"
"Batna","Doris","Reed","doris.reed@sakilacustomer.org","84.81"
"Baybay","Evelyn","Morgan","evelyn.morgan@sakilacustomer.org","99.74"
"Beira","Mildred","Bailey","mildred.bailey@sakilacustomer.org","88.78"
"Bellevue","Katherine","Rivera","katherine.rivera@sakilacustomer.org","57.87"
"Belm","Joan","Cooper","joan.cooper@sakilacustomer.org","78.79"
"Beni-Mellal","Judith","Cox","judith.cox@sakilacustomer.org","91.70"
"Benin City","Rose","Howard","rose.howard@sakilacustomer.org","97.80"
"Berhampore (Baharampur)","Kelly","Torres","kelly.torres@sakilacustomer.org","86.80"
"Bern","Nicole","Peterson","nicole.peterson@sakilacustomer.org","94.78"
"Bhavnagar","Judy","Gray","judy.gray@sakilacustomer.org","89.77"
"Bhilwara","Christina","Ramirez","christina.ramirez@sakilacustomer.org","75.83"
"Bhopal","Theresa","Watson","theresa.watson@sakilacustomer.org","88.73"
"Bhusawal","Beverly","Brooks","beverly.brooks@sakilacustomer.org","89.78"
"Bijapur","Denise","Kelly","denise.kelly@sakilacustomer.org","96.74"
"Binzhou","Irene","Price","irene.price@sakilacustomer.org","74.79"
"Birgunj","Jane","Bennett","jane.bennett@sakilacustomer.org","85.77"
"Blumenau","Rachel","Barnes","rachel.barnes@sakilacustomer.org","73.81"
"Boksburg","Andrea","Henderson","andrea.henderson@sakilacustomer.org","92.79"
"Botshabelo","Louise","Jenkins","louise.jenkins@sakilacustomer.org","96.78"
"Braslia","Anne","Powell","anne.powell@sakilacustomer.org","72.79"
"Brest","Bonnie","Hughes","bonnie.hughes@sakilacustomer.org","84.80"
"Bydgoszcz","Phyllis","Foster","phyllis.foster@sakilacustomer.org","76.80"
"Cabuyao","Norma","Gonzales","norma.gonzales@sakilacustomer.org","71.81"
"Callao","Paula","Bryant","paula.bryant@sakilacustomer.org","72.83"
"Cape Coral","Annie","Russell","annie.russell@sakilacustomer.org","58.82"
"Carmen","Emily","Diaz","emily.diaz@sakilacustomer.org","90.77"
"Cavite","Robin","Hayes","robin.hayes@sakilacustomer.org","101.77"
"Cayenne","Peggy","Myers","peggy.myers@sakilacustomer.org","86.77"
"Changhwa","Rita","Graham","rita.graham@sakilacustomer.org","77.78"
"Changzhou","Dawn","Sullivan","dawn.sullivan@sakilacustomer.org","93.78"
"Chapra","Connie","Wallace","connie.wallace@sakilacustomer.org","95.79"
"Cheju","Edna","West","edna.west@sakilacustomer.org","79.81"
"Chiayi","Tiffany","Jordan","tiffany.jordan@sakilacustomer.org","49.88"
"Chisinau","Carmen","Owens","carmen.owens@sakilacustomer.org","94.75"
"Ciparay","Wendy","Harrison","wendy.harrison@sakilacustomer.org","86.73"
"Citt del Vaticano","Edith","Mcdonald","edith.mcdonald@sakilacustomer.org","69.83"
"Ciudad del Este","Kim","Cruz","kim.cruz@sakilacustomer.org","76.80"
"Coquimbo","Shannon","Freeman","shannon.freeman@sakilacustomer.org","97.77"
"Crdoba","Sheila","Wells","sheila.wells@sakilacustomer.org","57.86"
"Dadu","Charlotte","Hunter","charlotte.hunter@sakilacustomer.org","87.78"
"Datong","Esther","Crawford","esther.crawford@sakilacustomer.org","95.72"
"Daugavpils","Pauline","Henry","pauline.henry@sakilacustomer.org","88.75"
"Davao","Emma","Boyd","emma.boyd@sakilacustomer.org","77.81"
"Daxian","Juanita","Mason","juanita.mason@sakilacustomer.org","100.72"
"Dayton","Anita","Morales","anita.morales@sakilacustomer.org","59.86"
"Dhule (Dhulia)","Eva","Ramos","eva.ramos@sakilacustomer.org","83.82"
"Donostia-San Sebastin","April","Burns","april.burns@sakilacustomer.org","74.77"
"Dos Quebradas","Leslie","Gordon","leslie.gordon@sakilacustomer.org","83.80"
"El Fuerte","Danielle","Daniels","danielle.daniels@sakilacustomer.org","94.78"
"El Monte","Megan","Palmer","megan.palmer@sakilacustomer.org","81.75"
"Elista","Alicia","Mills","alicia.mills@sakilacustomer.org","73.81"
"Emeishan","Suzanne","Nichols","suzanne.nichols@sakilacustomer.org","94.76"
"Erlangen","Bertha","Ferguson","bertha.ferguson@sakilacustomer.org","89.77"
"Eskisehir","Jill","Hawkins","jill.hawkins@sakilacustomer.org","58.83"
"Ezeiza","Geraldine","Perkins","geraldine.perkins@sakilacustomer.org","94.76"
"Ezhou","Lauren","Hudson","lauren.hudson@sakilacustomer.org","59.83"
"Fengshan","Joann","Gardner","joann.gardner@sakilacustomer.org","64.85"
"Firozabad","Lorraine","Stephens","lorraine.stephens@sakilacustomer.org","81.80"
"Funafuti","Erica","Matthews","erica.matthews@sakilacustomer.org","86.80"
"Garland","Yvonne","Watkins","yvonne.watkins@sakilacustomer.org","81.81"
"Gatineau","Annette","Olson","annette.olson@sakilacustomer.org","98.76"
"Gijn","Samantha","Duncan","samantha.duncan@sakilacustomer.org","71.77"
"Gorontalo","Stacy","Cunningham","stacy.cunningham@sakilacustomer.org","95.78"
"Graz","Renee","Lane","renee.lane@sakilacustomer.org","101.72"
"Greensboro","Ida","Andrews","ida.andrews@sakilacustomer.org","75.78"
"Guadalajara","Vivian","Ruiz","vivian.ruiz@sakilacustomer.org","80.80"
"Guaruj","Roberta","Harper","roberta.harper@sakilacustomer.org","79.80"
"Hagonoy","Melanie","Armstrong","melanie.armstrong@sakilacustomer.org","92.75"
"Haining","Loretta","Carpenter","loretta.carpenter@sakilacustomer.org","87.79"
"Haldia","Jeanette","Greene","jeanette.greene@sakilacustomer.org","66.82"
"Halifax","Laurie","Lawrence","laurie.lawrence@sakilacustomer.org","97.78"
"Halle/Saale","Kristen","Chavez","kristen.chavez@sakilacustomer.org","74.84"
"Hami","Vanessa","Sims","vanessa.sims@sakilacustomer.org","86.81"
"Higashiosaka","Beth","Franklin","beth.franklin@sakilacustomer.org","95.76"
"Hiroshima","Vicki","Fields","vicki.fields@sakilacustomer.org","91.78"
"Hohhot","Tara","Ryan","tara.ryan@sakilacustomer.org","87.81"
"Hsichuh","Eileen","Carr","eileen.carr@sakilacustomer.org","80.82"
"Huejutla de Reyes","Lucy","Wheeler","lucy.wheeler@sakilacustomer.org","86.75"
"Idfu","Wilma","Richards","wilma.richards@sakilacustomer.org","91.80"
"Iligan","Jessie","Banks","jessie.banks@sakilacustomer.org","81.76"
"Ilorin","Natalie","Meyer","natalie.meyer@sakilacustomer.org","90.78"
"Imus","Agnes","Bishop","agnes.bishop@sakilacustomer.org","86.79"
"Inegl","Vera","Mccoy","vera.mccoy@sakilacustomer.org","67.82"
"Ipoh","Willie","Howell","willie.howell@sakilacustomer.org","100.75"
"Iwaki","Delores","Hansen","delores.hansen@sakilacustomer.org","71.84"
"Iwakuni","Melinda","Fernandez","melinda.fernandez@sakilacustomer.org","77.84"
"Iwatsuki","Pearl","Garza","pearl.garza@sakilacustomer.org","76.78"
"Jaffna","Maureen","Little","maureen.little@sakilacustomer.org","87.79"
"Jaipur","Colleen","Burton","colleen.burton@sakilacustomer.org","78.78"
"Jakarta","Allison","Stanley","allison.stanley@sakilacustomer.org","86.75"
"Jalib al-Shuyukh","Tamara","Nguyen","tamara.nguyen@sakilacustomer.org","93.75"
"Jaroslavl","Georgia","Jacobs","georgia.jacobs@sakilacustomer.org","88.77"
"Jastrzebie-Zdrj","Constance","Reid","constance.reid@sakilacustomer.org","86.77"
"Jedda","Lillie","Kim","lillie.kim@sakilacustomer.org","89.77"
"Jhansi","Jackie","Lynch","jackie.lynch@sakilacustomer.org","89.77"
"Jinzhou","Nellie","Garrett","nellie.garrett@sakilacustomer.org","86.81"
"Juazeiro do Norte","Lydia","Burke","lydia.burke@sakilacustomer.org","77.77"
"Jurez","Marian","Mendoza","marian.mendoza@sakilacustomer.org","76.82"
"Kabul","Stella","Moreno","stella.moreno@sakilacustomer.org","88.81"
"Kaduna","Caroline","Bowman","caroline.bowman@sakilacustomer.org","37.87"
"Kakamigahara","Dora","Medina","dora.medina@sakilacustomer.org","88.81"
"Kaliningrad","Jo","Fowler","jo.fowler@sakilacustomer.org","54.85"
"Kalisz","Vickie","Brewer","vickie.brewer@sakilacustomer.org","100.75"
"Kamakura","Mattie","Hoffman","mattie.hoffman@sakilacustomer.org","58.80"
"Kanazawa","Irma","Pearson","irma.pearson@sakilacustomer.org","70.82"
"Kanchrapara","Mabel","Holland","mabel.holland@sakilacustomer.org","97.75"
"Kilis","Deanna","Byrd","deanna.byrd@sakilacustomer.org","90.78"
"Kingstown","Gwendolyn","May","gwendolyn.may@sakilacustomer.org","98.75"
"Klerksdorp","Nina","Soto","nina.soto@sakilacustomer.org","96.79"
"Kolpino","Cassandra","Walters","cassandra.walters@sakilacustomer.org","96.79"
"Konotop","Leah","Curtis","leah.curtis@sakilacustomer.org","75.81"
"Koriyama","Penny","Neal","penny.neal@sakilacustomer.org","56.84"
"Korla","Kay","Caldwell","kay.caldwell@sakilacustomer.org","65.87"
"Kragujevac","Carole","Barnett","carole.barnett@sakilacustomer.org","92.75"
"Ktahya","Brandy","Graves","brandy.graves@sakilacustomer.org","94.77"
"Kumbakonam","Billie","Horton","billie.horton@sakilacustomer.org","71.79"
"Kursk","Leona","Obrien","leona.obrien@sakilacustomer.org","32.90"
"Kuwana","Jenny","Castro","jenny.castro@sakilacustomer.org","79.80"
"La Paz","Felicia","Sutton","felicia.sutton@sakilacustomer.org","68.77"
"Laiwu","Velma","Lucas","velma.lucas@sakilacustomer.org","96.76"
"Lancaster","Becky","Miles","becky.miles@sakilacustomer.org","80.78"
"Laohekou","Bobbie","Craig","bobbie.craig@sakilacustomer.org","52.81"
"Laredo","Kristina","Chambers","kristina.chambers@sakilacustomer.org","80.78"
"Lausanne","Toni","Holt","toni.holt@sakilacustomer.org","73.83"
"Liaocheng","Sherri","Rhodes","sherri.rhodes@sakilacustomer.org","99.74"
"Liepaja","Erika","Pena","erika.pena@sakilacustomer.org","78.79"
"Lilongwe","James","Gannon","james.gannon@sakilacustomer.org","84.79"
"Lincoln","Robert","Baughman","robert.baughman@sakilacustomer.org","71.85"
"Lipetsk","William","Satterfield","william.satterfield@sakilacustomer.org","70.81"
"Livorno","David","Royal","david.royal@sakilacustomer.org","79.81"
"Ljubertsy","Richard","Mccrary","richard.mccrary@sakilacustomer.org","87.80"
"London","Joseph","Joy","joseph.joy@sakilacustomer.org","92.80"
"London","Thomas","Grigsby","thomas.grigsby@sakilacustomer.org","81.81"
"Lubumbashi","Daniel","Cabral","daniel.cabral@sakilacustomer.org","68.87"
"Lungtan","Paul","Trout","paul.trout@sakilacustomer.org","80.85"
"Luzinia","Mark","Rinehart","mark.rinehart@sakilacustomer.org","81.80"
"Madiun","Donald","Mahon","donald.mahon@sakilacustomer.org","63.84"
"Maikop","Kenneth","Gooden","kenneth.gooden@sakilacustomer.org","67.86"
"Malm","Steven","Curley","steven.curley@sakilacustomer.org","80.81"
"Manchester","Edward","Baugh","edward.baugh@sakilacustomer.org","96.76"
"Mandaluyong","Brian","Wyman","brian.wyman@sakilacustomer.org","27.93"
"Mandi Bahauddin","Ronald","Weiner","ronald.weiner@sakilacustomer.org","93.79"
"Mannheim","Anthony","Schwab","anthony.schwab@sakilacustomer.org","47.85"
"Maracabo","Kevin","Schuler","kevin.schuler@sakilacustomer.org","93.83"
"Mardan","Jason","Morrissey","jason.morrissey@sakilacustomer.org","81.81"
"Maring","Matthew","Mahan","matthew.mahan@sakilacustomer.org","91.75"
"Masqat","Gary","Coy","gary.coy@sakilacustomer.org","95.78"
"Matamoros","Timothy","Bunn","timothy.bunn@sakilacustomer.org","72.82"
"Matsue","Jose","Andrew","jose.andrew@sakilacustomer.org","64.82"
"Meixian","Larry","Thrasher","larry.thrasher@sakilacustomer.org","74.81"
"Memphis","Jeffrey","Spear","jeffrey.spear@sakilacustomer.org","65.83"
"Merlo","Frank","Waggoner","frank.waggoner@sakilacustomer.org","98.77"
"Mexicali","Scott","Shelley","scott.shelley@sakilacustomer.org","60.82"
"Miyakonojo","Andrew","Purdy","andrew.purdy@sakilacustomer.org","89.78"
"Molodetno","Gregory","Mauldin","gregory.mauldin@sakilacustomer.org","73.78"
"Monclova","Joshua","Mark","joshua.mark@sakilacustomer.org","93.78"
"Moscow","Dennis","Gilman","dennis.gilman@sakilacustomer.org","78.80"
"Mosul","Walter","Perryman","walter.perryman@sakilacustomer.org","95.76"
"Mukateve","Patrick","Newsom","patrick.newsom@sakilacustomer.org","83.77"
"Myingyan","Henry","Billingsley","henry.billingsley@sakilacustomer.org","64.84"
"Nagareyama","Juan","Fraley","juan.fraley@sakilacustomer.org","63.79"
"Najafabad","Jack","Foust","jack.foust@sakilacustomer.org","87.77"
"Naju","Albert","Crouse","albert.crouse@sakilacustomer.org","96.78"
"Nakhon Sawan","Jonathan","Scarborough","jonathan.scarborough@sakilacustomer.org","65.83"
"Namibe","Terry","Grissom","terry.grissom@sakilacustomer.org","68.81"
"Nanyang","Keith","Rico","keith.rico@sakilacustomer.org","80.77"
"NDjamna","Samuel","Marlow","samuel.marlow@sakilacustomer.org","75.80"
"Newcastle","Willie","Markham","willie.markham@sakilacustomer.org","85.78"
"Nha Trang","Lawrence","Lawton","lawrence.lawton@sakilacustomer.org","89.71"
"Novoterkassk","Benjamin","Varney","benjamin.varney@sakilacustomer.org","89.78"
"Nukualofa","Bruce","Schwarz","bruce.schwarz@sakilacustomer.org","92.79"
"Nyeri","Adam","Gooch","adam.gooch@sakilacustomer.org","97.80"
"Ogbomosho","Fred","Wheat","fred.wheat@sakilacustomer.org","69.79"
"Okara","Wayne","Truong","wayne.truong@sakilacustomer.org","70.81"
"Omdurman","Jeremy","Hurtado","jeremy.hurtado@sakilacustomer.org","98.75"
"Omiya","Aaron","Selby","aaron.selby@sakilacustomer.org","88.80"
